error,KP,KD,KI
35.0,0.001,0.01,0.0001
35.0,0.001,0.01,0.0001
15.859375,0.001,0.01,0.0001
13.125,0.001,0.01,0.0001
22.5,0.001,0.01,0.0001
22.5,0.001,0.01,0.0001
12.734375,0.001,0.01,0.0001
10.0,0.001,0.01,0.0001
16.25,0.001,0.01,0.0001
13.125,0.001,0.01,0.0001
8.046875,0.001,0.01,0.0001
7.265625,0.001,0.01,0.0001
8.4375,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
1.40625,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
1.015625,0.001,0.01,0.0001
3.359375,0.001,0.01,0.0001
0.15625,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
0.15625,0.001,0.01,0.0001
2.96875,0.001,0.01,0.0001
0.625,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
1.71875,0.001,0.01,0.0001
2.1875,0.001,0.01,0.0001
3.359375,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
0.15625,0.001,0.01,0.0001
2.96875,0.001,0.01,0.0001
0.625,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.96875,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
0.234375,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
0.9375,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.96875,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.1875,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
1.40625,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
0.546875,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
1.796875,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
3.75,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
2.5,0.001,0.01,0.0001
